order_id,customer_id,product_id,order_date,quantity,amount
110404,14430,10081,2025-02-20,1,19999
110405,14417,10330,2025-08-14,1,13093
110406,14534,10668,2025-12-17,3,181593
110407,14462,10327,2025-12-25,2,388
110408,14244,10684,2026-01-31,6,14208
110409,14076,10680,2025-04-24,1,431
110410,14134,10564,2025-11-02,1,876
110411,14075,10076,2025-02-03,3,447
110412,14089,10225,2025-05-04,2,2524
110413,14143,10056,2026-02-27,1,349
110414,14535,10261,2025-07-07,2,390
110415,14409,10305,2025-05-12,2,288
110416,14477,10391,2025-06-07,2,7368
110417,14430,10447,2025-04-11,4,267836
110418,14027,10526,2025-08-12,1,1782
110419,14291,10287,2026-01-16,2,832
110420,14168,10182,2025-03-23,2,1198
110421,14294,10439,2025-03-23,2,304
110422,14517,10620,2025-09-08,1,32909
110423,14259,10514,2025-12-21,1,31846
110424,14263,10349,2025-10-22,3,3624
110425,14292,10133,2025-09-16,1,25
110426,14186,10431,2025-10-08,1,3818
110427,14262,10654,2025-01-26,1,2544
110428,14087,10192,2025-04-30,2,238
110429,14444,10536,2025-05-18,1,9831
110430,14503,10341,2025-03-01,1,28504
110431,14286,10153,2025-07-17,2,100
110432,14265,10500,2025-04-29,2,7180
110433,14220,10150,2025-12-26,1,89
110434,14306,10389,2026-02-25,2,942
110435,14202,10280,2026-01-06,1,12760
110436,14358,10458,2025-01-13,2,310
110437,14295,10692,2025-02-12,2,2552
110438,14103,10517,2025-07-06,2,6462
110439,14081,10163,2026-01-26,2,2398
110440,14156,10275,2025-01-26,1,50008
110441,14311,10332,2025-01-18,2,23908
110442,14085,10590,2025-04-04,2,79846
110443,14007,10582,2025-06-22,1,681
110444,14047,10268,2025-11-17,1,107
110445,14226,10291,2026-02-07,1,263
110446,14485,10672,2025-12-20,1,382
110447,14032,10413,2025-04-10,1,1502
110448,14479,10251,2025-02-22,2,3520
110449,14133,10450,2025-06-19,1,164
110450,14142,10307,2025-04-09,2,772
110451,14479,10394,2025-05-07,3,1185
110452,14330,10418,2026-01-20,1,2717
110453,14101,10133,2025-05-10,1,25
110454,14445,10214,2025-03-02,2,63692
110455,14467,10052,2025-12-06,2,398
110456,14018,10274,2025-08-23,2,2722
110457,14166,10147,2026-02-15,3,597
110458,14396,10573,2025-07-27,5,475
110459,14488,10223,2025-12-24,2,1486
110460,14460,10156,2025-06-16,3,1497
110461,14436,10117,2026-02-03,1,799
110462,14325,10570,2025-12-13,2,338
110463,14249,10042,2025-11-04,2,2598
110464,14429,10548,2025-01-26,1,782
110465,14021,10426,2025-02-20,1,2031
110466,14100,10208,2025-08-03,2,530
110467,14144,10667,2025-08-12,2,210390
110468,14452,10575,2025-11-25,1,50008
110469,14334,10160,2025-10-27,2,115980
110470,14166,10139,2025-03-20,2,79980
110471,14478,10230,2026-01-19,1,609
110472,14487,10350,2026-01-21,2,1048
110473,14040,10070,2025-08-12,1,1999
110474,14278,10370,2025-02-09,1,1458
110475,14420,10361,2025-01-18,2,2990
110476,14098,10522,2025-04-16,1,360
110477,14143,10049,2025-08-03,1,999
110478,14491,10207,2025-08-07,2,115316
110479,14525,10268,2025-01-18,2,214
110480,14110,10350,2025-01-17,2,1048
110481,14324,10141,2025-10-31,1,599
110482,14279,10167,2025-12-28,2,2998
110483,14201,10047,2025-03-23,1,1199
110484,14314,10234,2025-09-29,2,2368
110485,14463,10283,2025-06-07,1,809
110486,14345,10660,2026-01-07,4,348
110487,14322,10192,2025-03-23,1,119
110488,14203,10473,2025-08-12,1,7166
110489,14033,10231,2026-01-06,2,19898
110490,14002,10669,2025-12-21,1,2702
110491,14109,10158,2025-12-11,4,1596
110492,14513,10679,2025-08-30,1,13597
110493,14098,10284,2025-12-08,2,1240
110494,14305,10297,2025-11-05,1,360
110495,14308,10486,2025-03-10,4,26476
110496,14175,10014,2025-06-14,1,599
110497,14256,10146,2025-12-23,1,2499
110498,14403,10697,2026-02-01,1,2515
110499,14399,10112,2025-04-05,1,99
110500,14223,10072,2025-01-09,1,199
110501,14309,10462,2025-07-23,2,6490
110502,14264,10660,2025-09-07,2,174
110503,14093,10050,2026-02-26,2,1598
110504,14322,10267,2025-04-18,2,55564
110505,14068,10115,2025-06-08,1,399
110506,14041,10486,2025-12-26,1,6619
110507,14343,10322,2025-09-06,1,3256
110508,14241,10039,2025-11-04,1,1899
110509,14426,10313,2025-10-19,2,1756
110510,14183,10592,2025-07-11,2,5628
110511,14089,10284,2025-05-24,2,1240
110512,14218,10517,2025-11-01,3,9693
110513,14308,10429,2025-02-28,3,552
110514,14483,10502,2025-05-31,2,130232
110515,14146,10265,2025-08-14,4,3112
110516,14174,10567,2025-12-02,2,55564
110517,14192,10633,2025-10-06,1,1204
110518,14433,10057,2025-01-02,1,299
110519,14536,10352,2025-07-02,2,2434
110520,14158,10423,2025-04-19,2,7102
110521,14539,10620,2025-10-22,1,32909
110522,14438,10088,2025-07-14,1,899
110523,14357,10406,2025-08-26,1,69675
110524,14012,10473,2025-12-10,2,14332
110525,14151,10320,2025-03-15,2,65818
110526,14210,10510,2025-11-23,1,1082
110527,14350,10166,2025-05-16,1,499
110528,14159,10324,2025-04-06,3,5184
110529,14395,10206,2026-01-03,3,68790
110530,14060,10099,2025-09-27,1,999
110531,14440,10425,2025-03-10,1,33084
110532,14356,10267,2025-07-26,1,27782
110533,14450,10363,2025-07-28,2,2444
110534,14221,10079,2026-01-07,4,5996
110535,14457,10465,2025-06-29,2,1410
110536,14235,10196,2025-10-17,1,599
110537,14335,10436,2025-05-04,1,2101
110538,14326,10236,2025-08-09,1,9831
110539,14378,10507,2025-12-17,1,57658
110540,14219,10414,2025-09-14,2,3440
110541,14118,10597,2025-12-26,1,360
110542,14051,10206,2025-10-19,1,22930
110543,14455,10453,2025-11-30,1,52843
110544,14105,10522,2025-09-16,1,360
110545,14313,10155,2025-03-31,2,2998
110546,14436,10361,2025-03-10,1,1495
110547,14256,10366,2025-08-29,1,2340
110548,14254,10330,2026-01-04,2,26186
110549,14221,10342,2025-06-01,1,381
110550,14013,10436,2025-12-26,2,4202
110551,14249,10543,2025-06-28,2,172
110552,14171,10091,2025-05-10,1,149
110553,14460,10651,2025-11-22,2,770
110554,14295,10160,2025-07-01,2,115980
110555,14504,10680,2025-09-26,3,1293
110556,14189,10004,2025-08-31,1,48990
110557,14315,10158,2025-07-15,1,399
110558,14426,10088,2025-12-15,1,899
110559,14184,10408,2026-01-06,2,42910
110560,14271,10507,2025-09-24,2,115316
110561,14249,10670,2025-05-06,2,129118
110562,14387,10093,2025-11-30,3,297
110563,14096,10521,2025-09-14,1,64055
110564,14373,10174,2025-02-19,1,249
110565,14383,10422,2025-01-25,3,1887
110566,14478,10160,2025-07-24,2,115980
110567,14502,10411,2025-12-15,1,163
110568,14209,10473,2025-09-04,1,7166
110569,14433,10366,2025-02-01,2,4680
110570,14420,10008,2025-02-24,1,1499
110571,14075,10681,2025-03-15,1,18964
110572,14518,10474,2025-12-07,2,2370
110573,14033,10403,2025-07-06,2,866
110574,14382,10033,2025-05-08,1,199
110575,14251,10328,2025-01-21,3,110643
110576,14303,10030,2025-10-14,1,1299
110577,14271,10455,2025-05-30,1,2216
110578,14186,10278,2025-05-18,1,3643
110579,14196,10227,2025-07-08,5,21045
110580,14085,10296,2025-08-08,1,63217
110581,14065,10447,2025-02-23,2,133918
110582,14013,10119,2025-02-14,5,69995
110583,14372,10396,2025-12-29,1,21
110584,14183,10459,2025-05-23,3,4281
110585,14163,10635,2025-09-07,3,13377
110586,14108,10157,2025-01-27,2,3998
110587,14455,10578,2026-01-01,1,3643
110588,14335,10123,2025-02-23,2,1998
110589,14446,10059,2025-02-15,1,3999
110590,14172,10647,2025-02-09,1,226
110591,14282,10286,2025-02-13,1,53207
110592,14110,10635,2025-11-28,1,4459
110593,14077,10126,2025-06-28,2,1998
110594,14220,10185,2025-10-18,2,1998
110595,14403,10153,2026-01-08,2,100
110596,14489,10081,2025-07-27,1,19999
110597,14052,10246,2025-06-29,1,375
110598,14128,10646,2025-03-15,1,57
110599,14410,10277,2025-01-24,1,557
110600,14527,10473,2025-01-15,2,14332
110601,14067,10368,2026-01-11,2,11390
110602,14512,10453,2025-06-05,3,158529
110603,14106,10562,2025-01-11,5,31175
110604,14313,10166,2025-08-17,2,998
110605,14208,10260,2025-03-01,2,682
110606,14064,10654,2025-04-18,2,5088
110607,14475,10655,2025-07-30,2,70
110608,14062,10057,2026-01-18,2,598
110609,14015,10230,2025-02-26,2,1218
110610,14283,10190,2025-02-01,1,599
110611,14251,10052,2025-08-31,1,199
110612,14344,10013,2025-05-31,2,178
110613,14415,10081,2025-06-24,1,19999
110614,14385,10100,2025-09-30,1,5999
110615,14392,10506,2025-09-12,2,45860
110616,14289,10387,2025-09-14,2,4872
110617,14334,10674,2025-02-26,1,647
110618,14361,10159,2026-01-23,2,29998
110619,14173,10624,2025-09-27,2,3456
110620,14012,10271,2025-10-10,2,2290
110621,14147,10361,2026-01-08,2,2990
110622,14340,10613,2025-03-04,3,2634
110623,14395,10310,2025-02-01,1,36078
110624,14523,10037,2025-07-12,1,129
110625,14120,10414,2025-09-03,2,3440
110626,14289,10606,2026-02-07,1,193
110627,14426,10014,2025-08-20,3,1797
110628,14297,10239,2025-09-23,1,783
110629,14221,10077,2025-03-01,2,598
110630,14244,10453,2025-01-15,1,52843
110631,14359,10643,2026-02-18,2,3152
110632,14217,10577,2026-02-12,1,557
110633,14150,10443,2025-01-16,1,1012
110634,14238,10087,2025-05-17,3,4497
110635,14420,10254,2025-05-31,1,2940
110636,14536,10106,2025-12-27,1,1499
110637,14079,10162,2025-05-28,1,1299
110638,14222,10245,2025-07-09,1,850
110639,14421,10123,2025-06-20,3,2997
110640,14526,10078,2026-01-08,3,2397
110641,14200,10346,2025-10-30,2,114
110642,14273,10051,2025-10-17,1,18999
110643,14221,10039,2025-04-12,1,1899
110644,14535,10474,2025-07-31,2,2370
110645,14412,10088,2025-06-24,1,899
110646,14047,10084,2025-09-09,1,999
110647,14112,10028,2025-01-02,3,2097
110648,14144,10637,2025-03-06,1,26468
110649,14247,10168,2026-02-22,3,1197
110650,14519,10589,2025-03-02,4,1840
110651,14044,10664,2025-12-13,2,496
110652,14434,10693,2025-05-11,1,1788
110653,14098,10406,2025-06-18,2,139350
110654,14236,10468,2025-04-16,2,8922
110655,14182,10020,2025-01-08,1,799
110656,14364,10041,2025-06-15,1,4999
110657,14513,10216,2025-06-27,2,8266
110658,14063,10669,2026-01-25,3,8106
110659,14205,10492,2025-03-27,5,121140
110660,14335,10637,2025-11-05,1,26468
110661,14405,10649,2025-02-24,1,1208
110662,14105,10641,2025-12-02,1,28504
110663,14040,10281,2025-12-02,1,811
110664,14180,10308,2025-11-23,5,9335
110665,14469,10365,2025-11-11,2,61098
110666,14458,10423,2025-03-20,1,3551
110667,14139,10563,2025-02-24,1,19817
110668,14087,10515,2025-06-27,2,66028
110669,14446,10152,2025-08-14,2,398
110670,14479,10297,2025-08-21,2,720
110671,14301,10161,2025-12-04,1,5999
110672,14033,10270,2025-11-26,1,169
110673,14098,10629,2025-02-04,1,386
110674,14495,10194,2025-03-13,1,249
110675,14228,10127,2025-04-12,2,25998
110676,14455,10069,2025-06-06,1,1499
110677,14138,10011,2026-01-29,1,6999
110678,14041,10647,2025-01-04,1,226
110679,14290,10467,2025-09-17,1,49834
110680,14432,10039,2025-08-21,2,3798
110681,14176,10350,2025-10-21,2,1048
110682,14465,10339,2025-03-16,1,13608
110683,14508,10470,2025-05-06,2,15972
110684,14115,10475,2025-02-16,1,37558
110685,14094,10507,2025-08-28,2,115316
110686,14196,10117,2025-10-12,1,799
110687,14410,10690,2025-06-22,3,978
110688,14289,10561,2025-02-19,3,585
110689,14088,10316,2025-10-25,1,635
110690,14411,10181,2025-08-31,1,3499
110691,14527,10290,2025-02-09,3,119769
110692,14250,10493,2025-02-09,3,196488
110693,14383,10077,2026-02-10,1,299
110694,14130,10658,2025-09-18,1,386
110695,14035,10432,2025-03-04,1,2512
110696,14228,10538,2025-05-13,1,3723
110697,14204,10334,2025-08-20,2,232
110698,14018,10219,2026-01-20,2,772
110699,14340,10373,2025-03-30,3,747
110700,14385,10663,2025-11-25,2,14428
110701,14013,10516,2025-09-03,2,8266
110702,14390,10081,2025-01-29,2,39998
110703,14284,10484,2025-06-16,2,934
110704,14239,10207,2025-09-01,2,115316
110705,14096,10087,2025-10-19,1,1499
110706,14008,10188,2025-11-01,1,199
110707,14173,10607,2025-10-28,1,386
110708,14539,10260,2025-01-06,2,682
110709,14270,10377,2025-09-05,1,3060
110710,14149,10683,2025-07-26,2,876
110711,14509,10129,2025-12-27,2,198
110712,14438,10603,2025-10-07,2,1546
110713,14429,10310,2025-03-30,1,36078
110714,14098,10503,2025-02-25,1,918
110715,14474,10564,2025-06-25,1,876
110716,14512,10182,2026-02-01,1,599
110717,14514,10526,2026-02-27,2,3564
110718,14058,10652,2025-11-19,2,4290
110719,14057,10528,2025-08-03,3,23913
110720,14125,10624,2025-05-22,1,1728
110721,14084,10042,2025-01-01,2,2598
110722,14226,10115,2025-08-24,3,1197
110723,14451,10144,2025-03-04,1,999
110724,14185,10200,2025-11-20,2,89980
110725,14386,10045,2025-05-24,2,13998
110726,14034,10310,2025-04-08,4,144312
110727,14209,10057,2025-04-13,2,598
110728,14294,10566,2025-09-19,2,17180
110729,14472,10056,2026-01-12,3,1047
110730,14491,10054,2026-01-09,2,498
110731,14237,10017,2025-01-31,2,90
110732,14137,10391,2025-02-28,2,7368
110733,14312,10113,2025-06-14,1,120
110734,14234,10614,2025-08-09,1,3788
110735,14224,10110,2026-01-17,2,90
110736,14328,10401,2025-10-05,2,22618
110737,14340,10006,2025-04-30,3,6897
110738,14170,10255,2025-04-05,2,5422
110739,14526,10061,2025-07-20,1,9999
110740,14245,10325,2025-05-23,2,3050
110741,14218,10073,2025-09-05,1,199
110742,14429,10576,2025-11-19,1,1151
110743,14534,10598,2025-11-05,1,769
110744,14311,10428,2025-09-21,1,580
110745,14225,10633,2026-02-18,1,1204
110746,14197,10090,2025-10-01,1,499
110747,14472,10645,2025-07-27,2,2942
110748,14193,10612,2025-04-07,2,1312
110749,14200,10087,2025-01-19,1,1499
110750,14524,10238,2025-05-22,2,7446
110751,14439,10233,2025-12-02,2,54926
110752,14237,10675,2025-09-12,1,625
110753,14410,10529,2025-03-25,1,901
110754,14038,10328,2025-12-15,1,36881
110755,14082,10287,2025-02-20,3,1248
110756,14236,10483,2026-02-18,1,2474
110757,14409,10583,2025-11-17,1,809
110758,14201,10603,2025-01-03,2,1546
110759,14350,10218,2026-01-25,2,4736
110760,14118,10604,2025-03-02,2,774
110761,14019,10361,2025-03-06,1,1495
110762,14309,10664,2025-04-13,2,496
110763,14067,10053,2025-01-24,1,149
110764,14073,10009,2025-10-27,1,8999
110765,14344,10631,2025-04-03,2,6310
110766,14329,10306,2025-10-02,3,579
110767,14406,10663,2025-02-16,2,14428
110768,14112,10405,2025-01-19,1,44124
110769,14506,10415,2025-03-13,2,44952
110770,14148,10529,2025-04-06,2,1802
110771,14044,10545,2025-07-04,1,850
110772,14361,10515,2025-07-13,1,33014
110773,14211,10453,2026-01-03,1,52843
110774,14172,10376,2025-12-04,2,2252
110775,14350,10406,2025-08-29,2,139350
110776,14307,10513,2025-07-16,5,173180
110777,14525,10287,2025-11-23,2,832
110778,14496,10313,2025-03-20,2,1756
110779,14076,10449,2025-06-01,1,1228
110780,14450,10048,2025-11-20,1,1899
110781,14056,10213,2025-07-04,1,34636
110782,14137,10194,2025-05-11,1,249
110783,14254,10552,2025-10-19,1,2554
110784,14207,10019,2026-01-30,1,3499
110785,14519,10088,2025-11-27,2,1798
110786,14441,10291,2025-10-14,1,263
110787,14354,10008,2025-09-17,1,1499
110788,14447,10539,2025-04-14,1,783
110789,14213,10331,2025-04-02,1,3155
110790,14199,10546,2025-06-02,1,375
110791,14492,10213,2025-08-17,2,69272
110792,14532,10534,2026-01-01,2,2368
110793,14467,10153,2025-02-01,1,50
110794,14304,10197,2025-03-01,1,2499
110795,14113,10468,2025-03-29,1,4461
110796,14053,10612,2026-01-16,1,656
110797,14154,10473,2025-04-10,2,14332
110798,14539,10287,2025-04-13,1,416
110799,14263,10538,2025-04-27,2,7446
110800,14532,10282,2025-10-25,2,1362
110801,14061,10019,2025-08-26,1,3499
110802,14178,10415,2025-12-21,4,89904
110803,14208,10126,2025-02-26,1,999
110804,14160,10125,2026-01-10,1,14999
110805,14127,10027,2025-06-28,2,8998
110806,14236,10158,2025-07-06,5,1995
110807,14478,10355,2025-04-03,1,597
110808,14081,10344,2025-12-26,1,571
110809,14306,10098,2025-01-15,1,299
110810,14178,10368,2025-08-01,3,17085
110811,14229,10468,2025-10-05,1,4461
110812,14425,10026,2025-10-12,1,799
110813,14469,10377,2025-09-24,1,3060
110814,14164,10522,2026-01-22,3,1080
110815,14002,10234,2025-07-26,1,1184
110816,14449,10519,2025-04-30,2,772
110817,14028,10004,2025-06-09,1,48990
110818,14023,10697,2025-12-07,1,2515
110819,14021,10549,2025-09-24,2,2042
110820,14347,10393,2025-01-15,3,14334
110821,14165,10248,2025-09-23,2,1564
110822,14398,10516,2025-01-18,1,4133
110823,14277,10319,2025-05-04,1,2809
110824,14475,10620,2026-02-21,1,32909
110825,14436,10480,2025-10-02,2,95906
110826,14491,10184,2025-02-17,2,398
110827,14366,10056,2025-04-24,1,349
110828,14301,10219,2025-06-17,2,772
110829,14365,10698,2025-04-30,1,2147
110830,14171,10111,2025-09-10,2,298
110831,14413,10099,2025-02-19,1,999
110832,14314,10357,2025-01-17,2,9476
110833,14344,10468,2025-06-24,1,4461
110834,14519,10651,2025-08-14,1,385
110835,14531,10067,2025-07-06,2,598
110836,14370,10579,2025-07-13,1,839
110837,14419,10555,2025-09-17,4,10844
110838,14323,10377,2025-12-30,1,3060
110839,14420,10042,2025-10-02,1,1299
110840,14355,10609,2026-01-25,1,837
110841,14446,10290,2025-05-26,2,79846
110842,14257,10540,2025-04-27,1,32578
110843,14354,10027,2026-02-20,2,8998
110844,14003,10415,2025-02-22,1,22476
110845,14042,10338,2025-08-14,1,47253
110846,14272,10664,2025-05-27,3,744
110847,14280,10563,2025-06-26,2,39634
110848,14450,10140,2025-05-03,2,4998
110849,14532,10350,2025-12-02,1,524
110850,14533,10080,2025-10-27,1,2299
110851,14353,10189,2025-10-06,1,45
110852,14282,10297,2025-09-15,1,360
110853,14494,10539,2025-11-19,1,783
110854,14220,10600,2025-11-07,2,42954
110855,14441,10176,2025-09-12,1,249
110856,14260,10539,2025-08-19,1,783
110857,14106,10360,2025-08-10,2,104664
110858,14382,10029,2026-02-22,1,3499
110859,14467,10235,2025-03-18,2,3368
110860,14218,10476,2025-05-27,2,6298
110861,14133,10004,2025-10-23,1,48990
110862,14214,10005,2025-01-03,1,3499
110863,14221,10473,2025-07-10,2,14332
110864,14449,10125,2025-04-30,1,14999
110865,14162,10322,2025-11-09,1,3256
110866,14183,10688,2025-12-19,1,3236
110867,14174,10517,2026-02-13,3,9693
110868,14221,10477,2025-02-07,3,123036
110869,14487,10394,2025-01-29,2,790
110870,14124,10224,2025-05-01,1,17901
110871,14333,10557,2025-04-05,1,746
110872,14311,10534,2026-02-23,1,1184
110873,14244,10082,2025-07-26,1,36990
110874,14201,10323,2025-01-07,1,38804
110875,14233,10425,2025-12-02,1,33084
110876,14232,10169,2025-04-02,1,35
110877,14439,10407,2025-04-09,2,2550
110878,14113,10075,2025-02-06,2,1798
110879,14536,10292,2025-03-07,1,2814
110880,14280,10660,2025-02-21,1,87
110881,14246,10629,2026-01-21,2,772
110882,14512,10170,2026-01-24,1,499
110883,14192,10390,2025-08-15,1,1188
110884,14430,10093,2025-03-05,2,198
110885,14211,10222,2025-05-01,1,360
110886,14533,10693,2025-03-18,2,3576
110887,14139,10447,2025-08-24,1,66959
110888,14198,10086,2025-12-07,1,599
110889,14260,10564,2025-05-03,1,876
110890,14474,10277,2025-04-29,2,1114
110891,14004,10158,2025-10-14,3,1197
110892,14123,10679,2025-08-01,1,13597
110893,14056,10114,2025-09-29,1,89
110894,14248,10598,2025-03-23,3,2307
110895,14513,10439,2026-01-04,4,608
110896,14137,10312,2025-11-18,1,656
110897,14376,10657,2025-04-10,1,227
110898,14281,10078,2025-12-18,2,1598
110899,14314,10304,2025-04-13,1,387
110900,14008,10043,2025-05-17,2,45998
110901,14393,10463,2025-09-03,2,2122
110902,14475,10044,2025-01-23,1,64990
110903,14288,10192,2025-04-23,1,119
110904,14256,10590,2025-09-01,2,79846
110905,14269,10596,2025-07-30,2,126434
110906,14414,10014,2025-07-16,2,1198
110907,14141,10159,2025-07-31,2,29998
110908,14422,10109,2025-10-04,3,897
110909,14484,10506,2025-01-15,1,22930
110910,14298,10387,2025-12-30,2,4872
110911,14081,10402,2025-06-16,3,123258
110912,14147,10480,2025-03-02,2,95906
110913,14090,10639,2025-08-02,1,13608
110914,14059,10293,2025-11-18,2,97286
110915,14190,10340,2025-01-17,1,40993
110916,14349,10160,2025-04-06,2,115980
110917,14173,10251,2025-03-29,2,3520
110918,14229,10354,2025-12-25,1,3816
110919,14246,10637,2025-04-29,2,52936
110920,14154,10573,2025-11-13,2,190
110921,14014,10700,2025-06-03,2,5976
110922,14398,10322,2025-11-04,5,16280
110923,14471,10655,2026-02-04,2,70
110924,14227,10624,2025-07-23,1,1728
110925,14503,10241,2025-12-11,2,31006
110926,14390,10591,2025-12-30,1,263
110927,14524,10160,2025-01-04,4,231960
110928,14153,10678,2025-02-14,1,945
110929,14006,10160,2025-06-25,1,57990
110930,14457,10340,2026-02-19,1,40993
110931,14364,10239,2025-06-21,1,783
110932,14137,10287,2025-11-09,1,416
110933,14130,10432,2025-07-06,1,2512
110934,14157,10144,2025-05-18,1,999
110935,14250,10027,2025-08-15,2,8998
110936,14294,10066,2025-11-05,1,799
110937,14505,10599,2025-05-16,2,17620
110938,14180,10398,2025-08-03,1,12194
110939,14095,10475,2025-07-08,1,37558
110940,14105,10508,2025-03-07,1,265
110941,14251,10217,2025-07-31,2,6462
110942,14013,10558,2025-12-19,2,48748
110943,14381,10649,2026-01-16,1,1208
110944,14319,10185,2025-07-29,1,999
110945,14441,10421,2025-10-20,1,57455
110946,14435,10316,2025-12-12,1,635
110947,14291,10076,2025-11-09,3,447
110948,14396,10497,2025-12-11,1,122
110949,14463,10426,2025-06-26,1,2031
110950,14446,10523,2025-06-17,2,1486
110951,14132,10374,2025-07-14,1,28828
110952,14328,10054,2025-05-29,1,249
110953,14387,10030,2026-01-23,2,2598
110954,14169,10377,2025-05-18,2,6120
110955,14538,10033,2025-11-23,2,398
110956,14237,10059,2025-07-31,1,3999
110957,14153,10461,2025-05-31,2,39400
110958,14373,10385,2025-03-09,1,18609
110959,14167,10419,2025-01-21,2,606
110960,14495,10502,2025-06-13,3,195348
110961,14065,10083,2025-01-01,1,2999
110962,14214,10631,2026-02-06,1,3155
110963,14320,10035,2025-11-29,1,399
110964,14083,10555,2025-07-03,1,2711
110965,14429,10319,2025-09-28,1,2809
110966,14397,10645,2025-02-28,4,5884
110967,14106,10295,2026-01-06,2,3134
110968,14254,10604,2025-04-20,1,387
110969,14369,10072,2025-04-02,1,199
110970,14393,10186,2025-12-26,2,2998
110971,14221,10379,2025-01-10,2,1892
110972,14280,10653,2025-01-04,1,386
110973,14472,10552,2025-07-20,2,5108
110974,14212,10679,2025-04-30,1,13597
110975,14108,10224,2025-08-22,2,35802
